id,wh
1,મે જ્યારે મારા મોબાઇલની અંદર ઓનલાઇન એપ્લિકેશનમાંથી મારી પ્રથમ પ્રોડક્ટ ખરીદી હતી તે પ્રોડક્ટ હતી
2,ક્વોલિટથી ખૂબ સારી હતી તેનો કલર પણ ખૂબ આકર્ષીતો પકડવાનું હેન્ડલ ખૂબ
3,વધારાનું દબાણ આ પડતું હતું સ્મૃતથી રીતે પાડી હતી અને કામ કરતી હતી
4,ઉપર
5,ઘણા બધા હોય છે કે
6,તેના મૂળમાંથી અન્ય છોડ ઉત્પન્ન કરતા હોય છે પેદા છતાં થતા હોય છે
7,જ્યારે જ્યારે સંપૂર્ણ વિકસિત થઈ જાય ત્યારે ફરીથી તેનું સ્થાન ફેરફાર કરી અને અન્ય સ્થાન પર અનેક રોકમાં જેથી કરીને એક કરનવી પ્રોડક્ટ મળી આપણે અને બીજા સોળ પણ કરવામાં આવે અને એક 
8,એના બીજના કારણે અનેક પ્રકારના હોય છે જેથી કરીને તમે સડાતા તેને ત્યાંથી દૂર કરી અને અન્ય જગ્યાએ તેને વિકાસ તમે કરી શકો છો
9,હેલો મહાલક્ષ્મીત ટ્રાવેલ વિસનગરથી વાત કરો છો હાસર હું સુમિત બાર બોલું છું વિસનગરથી મેં આજે આપના ત્યાંથી ઓલા દ્વારા તેક્સી બુક કરાવી હતી
10,હા વિસનગરથી ગોઠવા જવા માટે મેં જ્યારે બુકિંગ કરાવ્યું ત્યારે સફર શરૂ થા પહેલા આપની ટ્રાવેલ્સ એજન્સી સાથે ચર્ચા થયેલી જેમો મને આપની એજન્સી દ્વારા રૂપિયા ગોઠવા સુધી પહોંચ�
11,હવે જ્યારે હું ગોઠવા પહોંચી ગયો છું ત્યારે આપણી ગાડીના ડ્રાઇવર મને રૂપિયા પંદરસો પુરા ચૂકવવાની વાત કરે છે એટલે કે નક્કી કરેલા બાળા કરતાં ત્રણ સો રૂપિયા વધારે તો ખોટું છે
12,અત્યારે આ બાડાની રકમ હું આપના ડ્રાઇવને સીધી નહીં ચૂકવું આપના ટ્રાવેલ્સ એજન્સીમાં આવી આ અંગે ચર્ચા કરવા માટે અથવા હું ઓલણાઇનથી આપને સીધું પેમેન્ટ કરી
13,અને આપના દ્વારામાં વાડામો થયેલ ફેરફારનું યોગ્ય નથી લાગતું આનું ધ્યાને લેશો
14,મારે મારે શોપિંગ કોર્ટમાંથી કોલગેટ બ્રસ્ટ અને હર્સી ડાકો ડ્રીન્ક પાવડર મિક્સ કાઢી નાખવા છે તે ઉપરાંત બ્રિટિયા બોર્બોન અને ફિલ્ડ પાઉડર પણ કાઢીના
15,મને પાંત્રીસને વિસ્તારમાં એવા નિશુલ્ક રસીકરણ કેન્દ્ર બતાવ જ્યાં માત્ર વીજૂથ માટે રસી હોય
16,મારો છેલ્લ્યું ગમતું પુસ્તક વાંચી લંગાઇએ તે ગીરી જે અરુણીમાં સિંહના જીવન પર આધારિત છે
17,એના એ પોતે દોડવી હતી અને એને રેલવેનિંદ્ર મુસાફરી દરમિયાન અમુક એવા લોકો
18,તો સોનાનો ચેન ખેંચવાનો પ્રયત્ન કર્યો અને એને પ્રતિકાર કરી ચાલુ ટ્રેનમાં ઝપાઝપી થાય છે અને ચાલુ ટ્રેનની અંદર
19,દેવામાં આવે છે કે પછી આખી રાહત એની બોડી બે વસતામાં પડી રહે છે બાવનથી વધારે ટ્રેન પરથી પસાર થાય છે
20,સવારમાં બે વસ્તામાં જિલ્લાની હોસ્પિટલમાં દાખલ કરવામાં આવે છે થાય છે
21,અને પછી દુનિયાને ખબર પડે કોઈ પ્રોબ્લેમ છે અને પછી માં દિલ્હીમાં
22,ટ્રીટમેન્ટ મળે છે અને ડોક્ટર પૂછ્યે છે કે અરૂણમાં તારા જીવનનું લક્ષશું તો શું કરિશો તારો છે કેટલા ઓપરેશન થયા છે
23,ત્યારે જવાબ આપે છે બહુ મહત્વનો છે એકસે કે મારે છે માઉન્ટેવર કરવું છે આ શરૂ શું શીખું શરૂ શીખે સર કરવું નિર્ણય છે
24,અને એ પોતે સ્થળ પણ કરે છે અને એરિયા અસર દિવ્યાંગ વ્યક્તિ પણ મનો બોર્ડ મુક્કમ હોય તો આટલું સરસ કરી શકે તો સામાન્ય માણસ ઘણું બધું કરી શકે
25,તમે તમારા વિવાર વિશે જણાવી શકશો
26,જણાવી કે મારું તમે પરિવાર
27,મારા મમ્મી છે અને મારા છે માં તરીકે
28,ચોપ કરી રહ્યા છે જેમાં તે માનસિક માનસિક બાળકો હોય મનબુદ્ધિને બાળકો ટ્રેની એક્ટિવિટી શીખવે છે
29,મને એમને એપવો છે તે એટલું કામ કરે છે તમારા છે
30,કંપની છે પરીક્ષા તેમાં તરીકેની પર બચાવે છે
31,અને છતાં પણ એટલું ગામ કરે છે તેના પર અને મારું નાનો ભાઈ છે
32,જે બીજા ત્રણ છે જે સ્કૂલાઓ છે ત્યાં છે મળવા બહુ હશે છે
33,મારા બા છે જે અત્યારે કરે છે અને પૂરો કર્યો અને અત્યારે
34,બાદ મારા કરી શકો
35,થેન્ક
36,પલંગ
37,બે તારીખ બે તારીખ અગિયાર તારીખ તારીખ અને તારીખ વીસ
38,થોડા સમય પહેલા મારા માતા પિતા સાથે દ્વારકા ફરવા માટે ગઈ હતી જેના કારણે બીડમાં હું છું એટલે મારા માતાપિતાથી અલગ પડી
39,અને ખૂબ જ ગભરાઈ ગઈ હતી અને હું રડવા લાગે ત્યાં મને ભાઈ મળ્યા તેમને મને પૂછ્યું કે છે તમે તેમને કહ્યું કે હું મારા માતા પિતાથી અલગ પડી ગઈ
40,મને શાંત કરી તેમને ચૂક કરાવી અને મારા માતાપિતાનું સંપર્ક કરાવ્યું ઘટના મારા માટે યાતકના છે
41,લો
42,બંધ
43,કામે
44,મેડમ યાદ છે બોલતા
45,તેની છે
46,બાંધ્યાની
47,કોના
48,તે મારી માસે પ્રોબ્લેમ છે
49,એટલે એટલો કે બે ત્રણ કલર મિખના હતા
50,તમારી શું કરવું છે
51,હા તારી તો વડલી આપવામાં આવે છે પણ એમાં બ્લાઉચ શીખો તો ખરો
52,આપી તમે
53,પછી તમારી જોડે તાજીનું બિલ્ધ કરું
54,તો તમે બીર હશે તો બેન તમને સાડી બદલી આપવામાં આવશે
55,તમારી
56,તેને કિંમત તાજીની તમે છે
57,એટલે તમને આથી જશે તો તમને તારી બદલી આપવામાં આવશે
58,હા તમે જ્યારે તમારી સારી આવે ત્યારે તમને બદલી આપવામાં આવશે
59,તમે બેથી ત્રણ વાગ્યા સુધીમાં ગમે ત્યારે કારે તમારે ઘરાગોની થોડી હોય છે તમે આવી શકો છો
60,તમારે પડતો હોય તો આવખા પણ ત્યાં ઘર ગરાગ વધારો હોઈ શકે પછી ના
61,આખું
62,ના કરતો નહીં જાય અને તમે જો તમારી સારી લેજો નહીં જાય તો કરે
63,ખાતરી આપે છે
64,તમે આ હોય ના પહેલાં તમે મને કોલ કરી દે
65,અને હાથે તમને એક વાત કરું કે તમે સારી માં ખરીદી હવે તે બીજી ખરીદું તેમાં તમારે થોડા પૈછા વધારે આપવાના થશે તો ચાલશે તમને
66,કોઈ તેની પાછા લેવાના તમારી થશે તમને મળી
67,હા
68,હા
69,તમારો
70,પશુઓની સંભાળ રાખવા માટે પ્રાર્થ કૃતિક અને જૈવિક પદ્ધતિઓ ઘણી બધી હોય છે જેમ કે
71,રોગેશ અને અલગ રાફવા જોઈએ રોગપ્રતિકારક રશિ આપવી જોઈએ જેમાં પશુઓમાં ચેપી રોગ આવે તે માટેનો રશિ આપવી જરૂરી છે જેથી રોગચાર ફાટી નીકળે ત્યારે એવા રોગથી બચાવી શકાય રસીથી વિગતા�
72,આપણે પશુઓમાં અંતર પર્વ જેવી હાજરી થી તેના શ્વાસ ઉપર ઘણી અસર થાય છે
73,ખોરાકમાં ઘટાડો ઝાડા પેટ ખુલી જવું બે તેની રૂાઠી
74,ખરવી વગેરે લક્ષ્મણ જોવા મળે છે માટે આપણે પશુઓની સંભાળ રાખવા માટે ભારતના
75,દેશમાં અલગ અલગ પ્રકારની જે રકૃતિક અને જૈવિક પદ્ધતિઓ છે તેનો સારી રીતે ઉપયોગ કરવો જોઈએ તેથી
76,બશુઓમાં કોઈ પ્રકારના રોગ થતા નથી અને તેમની સાડ સંભાળ સારી રીતે રાખવી જોઈએ
77,અને આપણે જ્યારે વાત કરીએ કે આપણા ઘરમાં વડીલો હોય તો વડીલો હંમેશા કેતા હોય છે કે ગાય પાડવી ખૂબ સારી બાબત છે કારણ કે ગાય
78,એ આપણા દેશમાં માતા માનીએ છીએ અને ગાય છે
79,એને રાખવાથી તેના દૂધ પીવાથી ઘણા બધા રોગો નથી થતા અને એના ગૌમુત્રમાં પણ ઘણી બધી તાકાત છે જે એન્સર જેવી ગંભીર બીમારીને પણ મટાડી શકે છે
80,તમે તેને તમારા ટ્વિટર ફ્યૂટ ફેસબુક વેચ અથવા ઇન્સ્ટના સ્ટોરી પણ પોસ્ટ કરી શકો જેથી કરીને યુઝ વધે
81,ઘણા એવા લોકો હોય છે કે જેમનું પૂરું પરિવાર ખેતીમાં હોવા છતાં તેઓ તેમાં કામ કરવા માપતા નથી પારટે ખેતીમાં અને ખેતી કરવામાં તેમજ ખેડૂત તરીકે પોતાનું જીવન ગુજારવામાં ધરાવતા ન�
82,મારું માનવું છે કે જે લોકોની આર્થિક પરિસ્થિતિ થડાવ હોય છે જે પોતાને સંતાને તેમજ પોતે સારું ભણતર અને સારો ભ્યાસ કરી શકતા નથી
83,લોકો માટે જીવન જરેવાનું એક માત્ર સાધન ખેતી હોય છે તેવું ખેતીના આધાર તેઓની જીવન જરૂર વિતાવતા હોય છે
84,ઘણા લોકો એવા પણ છે કે જેમી પાસે જમીન સારી હોય છે તો તેઓ ખેડી દ્વારા પણ નકરિયાત કરવા વ્યક્તિઓ કરતા સારું જીવન ગુજારી શકે છે
85,ખેતી કરવી તે પણ કઈ નાનો મોટું કામ નથી તે પણ નાટી કરવા જેવું જ સાહસી કામ છે તેમાં બાબા દુઃખ બેઠા પડે છે બાબધુ તેમને કરવું પડે છે જેટલી મહેનત નોકરી કરવામાં તેમને કરવી પડી છે તે મ
86,છેલ્લા ચાર વર્ષ દરમિયાન ઓક્સિજન દ્વારા જે રેસ્ટોરન્ટને નાણા ચૂકવ્યા છે તેની યાદી
87,ડાબુ
88,મારું રજીકરણ પ્રમાણ પત્ર ચારસો સાત નોબાઇનનો ઉપયોગ કરીને મેળવી
89,મહીસાણા જિલ્લામાં અનેક ઐતિહાસિક સ્થળો આવેલા છે જેમાં કે મંદિરો ઐતિહાસિક વગેરે જેવા કે મોઢેરાનું સૂર્ય મંદિર
90,બહુ રાજ્યમાં બહુ માતાનું મંદિર ભારણ ઇતિહાસિક માતાનું મંદિર
91,તારંગાણી કે કરીઓ મંદિરો જે જનગરમાં માદેવનું મંદિર
92,કાનારી વધવાનું કીર્તિ તોરણ સરમેસ્ટા તળાં સીમંદર સ્વામી જઈનમંદિર બોધમટ અને પ્રાચીન કાંડની વસ્તુઓ વધવામાં
93,ઊંચાઈ રાજમાં સારા તિરું પતિ નેત્રલ ભાગ વગેરે ઇતિહાસ સરળો આવેલા છે
94,જે ખૂબ પ્રખ્યાત છે અને નવરાશના સમયગાળા દરમિયાન લોકો આ સ્થળોને મુલાકાત લેવા જતા હોય છે
95,માહિતી પ્રાપ્ત થઈ શકે છે અને કેટલાક એવા સ્થળો છે કે
96,જોવા માટે જતા પહેલા પરવાનગી લેવી પડે છે અને ફી નેતા હોય છે અને કેટલી પરવાનગી જઈ શકાય છે આપણને એલખા સ્થળોને હુલાકાત લઈએ તો પ્રાચીન સમયમાં
97,સંસ્કૃતિ હતી અને હાલની સંસ્કૃતિનો કેટલું જેથી જાણકારી પ્રાપ્ત થાય છે
98,ચાલુ
99,બે પાંચમાં તેણે વિકપુલ કે લખેલી ધાર્મિક અને ધારિત ફિલ્મ માટે ભૂમિકામાં કર્યો હતો જ્યાં તે પોતે પોતાની ભૂમિકા બજવી હતી
100,હાલો
101,આજે કોણ બોલો છો
102,આદિતા
103,હું બધી બેન બોલું છું બોલું છું
104,હા હું એક વસ્તુ કહું છું કે તમે એમ પર વાત કરો અને તમે ત્યાં આવો
105,પેટની આપણે છે અને પહેલા તો તપાસ કરીશું અને તપાસ કર્યા પછી આપણને એવું લાગે કે તમારે કરવાનો છે કે પછી સ્ટોનોગ્રાફી કરવાની છે
106,આપણે સોનોગ્રાફી કે કરવી ના કહીશું
107,કે અને
108,ઓકે
109,હે
110,અચ્છા તમારા રિપોર્ટ મને મોકલી શકશો અગર તમે રિપોર્ટ મને મોકલો તો હું એમાં તમારું
111,કેટલાક કાઉન્ટ છે અને તમારે કેટલું છે અને બ્લડના રિપોર્ટ કર્યા હોય તો બિટવેલો બધા છે પણ તમારા હોય તો તમે મને શું છે કે હું એમાંથી જોઈ શકું
112,મને ખબર પડે કે તમારે બીજો કરવાનો છે એ રિપોર્ટ કરે તો એના આધાર પરથી ખબર પડી જશે કે તમને કંઈ બીમારી છે
113,તમે તમે મોકલી તો હું છું અત્યારે અને હું અત્યારે તમને પરત કહી દઉં છું કે તમને શું પ્રોબ્લેમ છે અને કેવી રીતના કયો રિપોર્ટ કરવા તમારે ઔસ્પિટલમાં માનું છે
114,હાબેન ભાઈ મગલી દો
115,હા હું જવું છું
116,તમારે પાંચ છે તમારા કરીમાં છે કે તમારે ખૂબ નથી
117,બીજું કે તમારું બીપી છે અને તમારું હાઈ લેવલ થઈ ગયું છે એટલા માટે તમે બળતરાને વધુ થાય છે
118,અને ત્રીજું જે આપણે રિપોર્ટ જોયો તેમાં તમારે છે આમાં સૂજન છે તો આપણે કિડની આપણે રિપોર્ટ
119,કરવો પડશે કિડનીનો કરવી પડશે તો જેમાંથી આપણને ખબર પડે કિડનીમાં ક્યાં સુધીનું થયેલો છે બરાબર
120,અમે પેટના અને પેટનું આખું હોય એ બધું બચાવી દીધું છે એટલા માટે એમને બધું જોઈને રિફોટ પ્રમાણે કીધું નહીં
121,અને મેં તમારા ઉપરથી અને તમારા એના પરથી હું તમને કહું છું
122,તમને આ વધુ છે અને એના સિવાય તમને તમે આવો અને તમારું એક
123,મારે બીજું કરાયો
124,તમારું તમને આગળ કેવી રીફના કરવાની એનું પ્રસ્તો મળી ગશે ભાઈ
125,પણ છે કે આપણે કોઈ કર આપણે થયું છે
126,ઉપર લગાવી દેજો તો જે તમને સોડી સારા થશે અને નિંબુ પાણી ફીછો
127,જેમાંથી તમને બળતરા છે અને તમારે આવું જરૂરી છે અને કરાવો જરૂરી છે
128,તમારા છાતીનો અને સુધી
129,હાલાની અંદરનો અને તમારા સમસ્યા પણથી તમારા પેટમાં દુખવાનું કારણ
130,ચાલે જ આવી જાઓ તો આવી છું તમને સવારમાં ચાલુ થઈ જશે
131,આજે સાંજે એવું કરો કે આપણે સ્પેશિયલ કેમાં તમને લઈને સાંજે આઠ વાગ્યા એ જાઓ
132,આપણે માં સાઉથ માં અને છે
133,ના મારું અને આવી તો ત્યાં બધું થઈ જશે બરાબર તમારું નામ છે તો તમારો રિપોર્ટ
134,ઓકે
135,રૂપિયા આઈસીઆઈપોકેટમાંથી રૂપિયા નો માસિક કરો
136,તમારા શહેરની અંદર આ પ્રકારની કોઈ એજન્સી કે કોઈ કંપની કોઈ શહેરની
137,ટ્રાવેલ માટે પ્રવાસન માટે જે લગજરી હોય છે તેની હોય છે
138,સ્કૂલની કોલેજની કોલેજની એક પ્રકારની આયોજન કરતી હોય છે એનાથી જાણ પર પણ પ્રવાસન કંપની કે એવું કંઈ નાનકડા શહેરની
139,લક્ઝરી દ્વારા પ્રવાસ થાય છે અને હોય છે લાગઝરી વ્યવસ્થા હોય છે પ્રકારની વ્યવસ્થા હોય છે બાકી પ્રવાસન કંપની અમારા શહેરમાં છે
140,ભારત વીસ્ટર્યા જાપાન અમેરિકા
141,હાલ સોમીલી લીટર સ્ક્રીમ કઈ કિંમતે વેચાય છે
142,પેંદુ તહેવાર મુજબ ઇસ્લામ મુજબ મારે બધા છે તેના પણ યોજાય છે
143,સૌથી વધુ તેવા પહો તો લગભગ તો નવરાત્રિત છે એના બાદ દિવાળી છે
144,નવરાત્રિમાન નવ દિવસો જે ઉપર ખેલાડી છે છે છે હોડીમાં તે રંગ
145,એક બીજાઓ સાથે ખબર નથી પડ્યા ઉપયોગ કરવો જોઈએ સાથે રમે છે અને યાદો બનાવે છે
146,ખરેકાર દવા
147,ચન્મ છે જે ઉજવાય છે
148,એના સિવાય
149,મોહરમ વગેરવણો પણ છે
150,બુદ્ધ પૂર્ણિયામાં દિવસો હોય છે એ સેવા તેમાંની ઋતુઓ
151,એ પણ જોવામાં આવે છે
152,અને
153,સુરેશ રમેશ રાકેસ રાજેશ
154,હાલમાં ઘડિયા કામ કરું છું અને મારા માટે એક ગૌરસની સિદ્ધિ છે કે અત્યારે જૂની ગઢિયાલની છે એને પણ હું આજે કરી શકું છું
155,નેએની તાલમાં શિયાળાની મોસમ નવેમ્બરના મધ્યમાં શરૂ થાય છે અને મધ્યમ માર સુધી ચાલે છે
156,મેથ્યુ ટીકર અને વેસો ચેન્જર તાજા નહોતા
157,નમસ્તે સમાચાર તેમાંથી પત્રકાર અંબલી વાત કરું છું આપણે કરવા માટે અમારી સાથે અમારા હવામાન સાથ્યરી પટેલ છે
158,આગામી સપ્તાહ માટે હવામાનની દૃષ્ટિ આપને શું રાખી શકે તમે અમને જણાવો જીતી માહિતી અમે અમારા દર્શકો સુધી પહોંચાડી શકે
159,બરાબર તો હવે આવકારદાસ પરિવર્તન જીવ લાગી રહ્યું છે હવે તમારે તાપમાન વિશે શું જણાવું છે
160,પાત્ર હવામાં અને ઘટના આપનું જણાવું છે
161,હવામા આપે આપનો ખૂબ જ આપાસ આગળ એક આશાસ્પદ સપ્તાહ જીવ લાગી રહી છે પરંતુ અમે એક વિકાસશીલ પદ્ધતિ સાથે કોઈપણ સંપાવીઠ ફેરપા સાથે જોડાયેલા છે
162,પ્રિયાજ દર વખતના જેમાં આપને આપીને માહિતી કારી અને સાચી નીકળી છે
163,તેમજ કોઈ પણ જાણ હોય તો તમે અમને માહિતી આપતા રહેશો આવી અગત્યની માહિતી જણાવો દર આપનો આવા
164,આપનો ખૂબ જાડા હમને આવી માહિતી જણા
165,મેં દીભા પેરિપેરિચીપ અને દીભા લેમંત ચેજર ટી નો ઓર્ડર આપ્યો છે પણ મારે તેની ડિલિવરી પંદર કલાક પછી જોઈએ છે
166,આકસ્માત એકાઉન્ટ નંબર હોય એવું લાગે છે તો કરો
167,શું તમે ફોન નંબર માટે એસપી માટેની તમામ અપાયેલી બનાવી શકો
168,એક પાંચ વીસ હજાર છે
169,નમસ્કાર
170,કંપનીમાંથી બોલી છું તમારી સોમ મદદ કરી શકો છો
171,તમારું નામ
172,તમારું નામ શારી શકું
173,સિડાસભાઈ તમારું નામ ખૂબ તમારો
174,શું તમારે માહિતી આપશો
175,મારા
176,છે
177,નાસા વાત છે
178,બાર
179,હું તમને તમે જગ્યા છે ત્યાં તમારે
180,ખૂબ તમારા જિલ્લાનું નામ
181,તાલુકાનું નામ
182,કોઈ નજીકમાં કોઈ સારું સ્થળ હોય એવું કોઈનું નામ જણાવશે
183,હવે એવું છે કે અત્યારે વરસાદનું વાતાવરણ છે એટલે ઘણા બધા થઈ શકતા હોય છે પરંતુ અમે તમે કેટલી તમને પ્રોબ્લેમ છે
184,તમારા મોબાઈ
185,કામગ્ય કે અધિકારીઓ રૂકા
186,ને અમે તમારા તમારા પ્રોબ્લેમ થાય છે એનું સલામાં માટે મારે કરો છો
187,તમારા મોબાઇન સેટિંગ
188,તો તમારું તમારા હોય એક બધા કરીને આપણા
189,લગભગ મારા ટકા પ્રોબ્લેમ છે કારણ અમદાવાદમાં તો ભણે છે
190,લેના માટે તમારે તમારા મોબાઇલના સેટિંગ કરી અને જીઓને નામનું જે સેટિંગ
191,ઓટોમેડિક આવી દેશે તમારા છે અને તમારા માં રાજ્ય
192,અને તમારે લગભગ પ્રદ્ધાશન તમારું
193,હા તમારા જીવમાં તો વાંતો નથી આપણે અમદાવાદમાં ખૂબ સારી સરવે સાથે છે
194,અને ત્યાં પણ આવી છે તો તમારે અમદાવાદ કોઈપણ જેના તકલીફ થઈ અભ્યારે છે જેના લીધે છે
195,તો આપણે કંપની ખૂબ ખૂબ જ છે
196,આપને કરશે છે એના માટે કોઈ કંપની જાઓ
197,અમે તમને જેટલા પ્રયત્ન થાય છે
198,કરોમાં કરો બુદ્ધ ખૂબ બાબા
199,બે ઝિંગ માં હાલ કેટલા વાગ્યા છે
200,નોર્મલ અને વેલામાં ટમેટી
201,જેવા શાકબાજીના છોડ કરે ઉગાડવામાં હાર્યા કરવામાં આવે છે જેનાથી ખાની શાકબાજી ઝરિયાત પૂરી થઈ શકે છે અને એકદમ શોધ સાકારી
202,શાકભાજી અને આપણને યોગ્ય આહાર મળી તે માટે પૂરતા પ્રયાસ કરવામાં આવે છે
203,હું પૂજા ચોરી વાત કરું છું તમે નથી એજન્સીમાંથી પરત વિવાદ કરો છો
204,હા હું કહેતી દીધી મેં બે દિવસ પહેલા તમાર ત્યાં સંપર્ક કર્યો હતો
205,એટલે કે અમારા એક પ્રવાસમાં જવાનું હતું તો અમારા લોકોનો પ્રવાસમાં જવાનું હતું પણ તમારી ડ્રાઈવર હજુ સુધી હાજર થયા નથી
206,અને અમને ફોન કરવાના ઘણા બધા પ્રયાસનો કર્યા અને ફોન પણ અત્યારે ઉપાડતા નથી
207,તમને મતબાની કરીને કહેવા માંગે છે કે તમે તમારા ડ્રાઇવર હાજર હોય તો તમને પસો આંધો નથી પણ તમે તમારા બીજા ડ્રાઇવર મોકલા
208,જેથી કરીને અમારા પ્રવાસ જવાનું છાય સ્થળે અમે ઝડપી પહોચી શકે અને બીજું હું તમના કેતી હતી કે એટલું તમને ડ્રાઇવર ઝડપી મોપલ જાય
209,બીજું કંઈક તમને ડ્રાઇવર વિશે કોઈ પણ તકલીફ તમે તમારા બીજા ટાઇવાના મોકલો તો બીજો અત્યારે આવા રેડી હોય તો વાંધો નથી પણ તેટલું તમે
210,મોરબી જિલ્લો ગુજરાતની સંસ્કૃતિનું એક સ્તંભ કહી શકાય એવો જિલ્લો છે ત્યાં આપણે સામાજિક અને સંસ્કૃતિક બંને પ્રકારની પ્રથાઓ જોવા મળે છે
211,તેની ભાષા આપણે કહીએ તો કાઠી કહેવાઈ શકે છે જે ગુજરાતી કાઠીઆવાડી કહી શકાય છે અને ધર્મની વાત કરીએ તો અહીં સરુ પ્રકારના ધર્મ વિંદુ મુસ્લિમ
212,પાસી અને અન્યત્રફ બીજા ઘણા બધા ધર્મ પણ નહીં હોય છે અને રિવાજોની વાત કરીએ તો હી તમામ પ્રકારના રિવાજો પણ હોય છે જે હિન્દુ અને મુસ્લિમ સંસ્કૃતિમાં
213,માનવામાં હોય તમામ પ્રકારના વિવાઝો પણ માનવામાં આવે છે
214,અને જ્યારે પ્રાર્થનાની વાત કરી તો અહીં કરવાના ધર્મના લોકો રહે છે જેથી કરીને રાતના પણ પ્રકારની થાય છે સાથે સાથે પ્રથારની વાત કરી તો અલગ અલગ પ્રકારના જે આપણા તહેવારો હોય છે તમા�
215,અને પ્રથાઓને ઉજવી અને જિલ્લામાં સાંસ્કૃતિ અને સમાજિક રીતે બધું સારી રીતે ચાલે છે
216,મારી મારા ગાર્નીયર એકનો ફાઇટ ફેસવેલ
217,કેલોગ્સ ગ્રંચી ગ્રેનોલા અને ટીબોક્સ અશ્વગંધા ગ્રીન ટી ના ઓર્ડર ની પરિસ્થિતિ જાણવી છે
218,અમારા સ્થળે કે આસપાસના અમુક પ્રવાસીઓ આકર્ષણના સ્થળે મુલાકાત લે તો એક પ્રવાસીએ લગભગ બે હજારથી જેટલો ખર્ચ થઈ શકે
219,કારણ કે તે સ્થળે જવા આવવા માટેનો ખર્ચ પછી કદાચ ત્યાં ના પૈસા હોય તો પાર્ટીમ પૈસા ત્યાં જમ્મા માટે પૈસા
220,ત્યાં બધો ખર્ચ કરવો પડે તે જો કદાચ પ્રવાસી દૂરથી આવી હોય તો હતું અંતને ધ્યાનમાં લઈને તો ત્યાં લોકવો પડે
221,રૂકનું થાય તો પણ ત્યાં હોટલમાં રહેવા માટે ખર્ચ
222,તેથી આ ખરચામાં પણ થોડો બધા થઈ શકે મારામાં જોવા સ્થળો
